image_id,label_id,label_zh,label_en,mid,local_path,thumbnail_url,original_url,license,author,title,source_split,width,height,download_status
0089b8f6212315ec,boat,船,Boat,/m/019jd,data/images/boat/0089b8f6212315ec.jpg,https://c6.staticflickr.com/4/3215/3118621171_3c65d32af5_z.jpg,https://c5.staticflickr.com/4/3215/3118621171_e18bd60a7d_o.jpg,https://creativecommons.org/licenses/by/2.0/,jxandreani,naufrage à Sagone,validation,64,64,failed
0148fb9a454a9bd0,flower,花,Flower,/m/0c9ph5,data/images/flower/0148fb9a454a9bd0.jpg,https://c2.staticflickr.com/6/5444/17830646170_c949387f1d_z.jpg,https://farm1.staticflickr.com/5444/17830646170_75f2b33255_o.jpg,https://creativecommons.org/licenses/by/2.0/,fourthandfifteen,Pentecost Flowers 2015,validation,64,64,failed
0189d61b2c1df778,boat,船,Boat,/m/019jd,data/images/boat/0189d61b2c1df778.jpg,https://c7.staticflickr.com/9/8379/8573802600_f8c6a8dd09_z.jpg,https://c1.staticflickr.com/9/8379/8573802600_4862730ae0_o.jpg,https://creativecommons.org/licenses/by/2.0/,Yusuke Umezawa,My Okinawa Trip / 沖縄旅行,validation,64,64,failed
01f5c22d73bfed30,dog,狗,Dog,/m/0bt9lr,data/images/dog/01f5c22d73bfed30.jpg,https://c7.staticflickr.com/9/8490/8169069750_22ed2541c7_z.jpg,https://farm1.staticflickr.com/8490/8169069750_56a46c65df_o.jpg,https://creativecommons.org/licenses/by/2.0/,Keng Susumpow,Untitled,validation,64,64,failed
01f8886b50a031a1,truck,卡车,Truck,/m/07r04,data/images/truck/01f8886b50a031a1.jpg,https://c4.staticflickr.com/6/5462/7113943807_642ed4d454_z.jpg,https://farm2.staticflickr.com/5462/7113943807_3a57fcb10a_o.jpg,https://creativecommons.org/licenses/by/2.0/,André Gustavo Stumpf,DETRAN-DF,validation,64,64,failed
020feca9b536f1fe,bicycle,自行车,Bicycle,/m/0199g,data/images/bicycle/020feca9b536f1fe.jpg,https://c1.staticflickr.com/3/2059/2258982401_762044a41d_z.jpg,https://c7.staticflickr.com/3/2059/2258982401_4313fbe3c5_o.jpg,https://creativecommons.org/licenses/by/2.0/,Connie,IMG_4228.JPG,validation,64,64,failed
02121a19fc3a6e63,boat,船,Boat,/m/019jd,data/images/boat/02121a19fc3a6e63.jpg,https://c1.staticflickr.com/6/5143/5607017178_aba4f33928_z.jpg,https://farm4.staticflickr.com/5143/5607017178_2bd83af80c_o.jpg,https://creativecommons.org/licenses/by/2.0/,Edd&#x27;s Images,Wells-next-the-sea RNLI,validation,64,64,failed
02ef01f6d6a665ac,dog,狗,Dog,/m/0bt9lr,data/images/dog/02ef01f6d6a665ac.jpg,https://c1.staticflickr.com/4/3706/10329872004_38774e1812_z.jpg,https://c5.staticflickr.com/4/3706/10329872004_c1e57fe011_o.jpg,https://creativecommons.org/licenses/by/2.0/,Canine To Five,DSCF6331,validation,64,64,failed
033045b8afa879ec,airplane,飞机,Airplane,/m/05czz6l,data/images/airplane/033045b8afa879ec.jpg,https://c2.staticflickr.com/4/3825/19172607619_ba079bf66f_z.jpg,https://c5.staticflickr.com/4/3825/19172607619_a52782e344_o.jpg,https://creativecommons.org/licenses/by/2.0/,chaya760,TMA 1,validation,64,64,failed
0501cc6b559cc711,bicycle,自行车,Bicycle,/m/0199g,data/images/bicycle/0501cc6b559cc711.jpg,https://c6.staticflickr.com/8/7049/7006795386_fbcd66f8fd_z.jpg,https://farm2.staticflickr.com/7049/7006795386_b2978321ef_o.jpg,https://creativecommons.org/licenses/by/2.0/,Bradley Howard,"Natalie, Ishai, Ethan, Shelley & Orli in Thetford Forest",validation,64,64,failed
